"Filter","gamma_dB","CCDF"
"NGF",4,0.984666666666667
"NGF",4.25,0.965666666666667
"NGF",4.5,0.938666666666667
"NGF",4.75,0.899
"NGF",5,0.849
"NGF",5.25,0.778333333333333
"NGF",5.5,0.697666666666667
"NGF",5.75,0.601666666666667
"NGF",6,0.510333333333333
"NGF",6.25,0.42
"NGF",6.5,0.338666666666667
"NGF",6.75,0.271666666666667
"NGF",7,0.21
"NGF",7.25,0.150333333333333
"NGF",7.5,0.106333333333333
"NGF",7.75,0.0676666666666667
"NGF",8,0.0406666666666667
"NGF",8.25,0.0216666666666667
"NGF",8.5,0.0123333333333333
"NGF",8.75,0.006
"NGF",9,0.00233333333333333
"NGF",9.25,0.000333333333333333
"NGF",9.5,1e-05
"NGF",9.75,1e-05
"NGF",10,1e-05
"NGF",10.25,1e-05
"NGF",10.5,1e-05
"NGF",10.75,1e-05
"NGF",11,1e-05
"NGF",11.25,1e-05
"NGF",11.5,1e-05
"NGF",11.75,1e-05
"NGF",12,1e-05
"NGF",12.25,1e-05
"NGF",12.5,1e-05
"NGF",12.75,1e-05
"NGF",13,1e-05
"NGF",13.25,1e-05
"NGF",13.5,1e-05
"NGF",13.75,1e-05
"NGF",14,1e-05
"RRC",4,1
"RRC",4.25,1
"RRC",4.5,1
"RRC",4.75,1
"RRC",5,1
"RRC",5.25,1
"RRC",5.5,1
"RRC",5.75,1
"RRC",6,1
"RRC",6.25,1
"RRC",6.5,1
"RRC",6.75,1
"RRC",7,1
"RRC",7.25,0.999666666666667
"RRC",7.5,0.998666666666667
"RRC",7.75,0.992333333333333
"RRC",8,0.965666666666667
"RRC",8.25,0.921666666666667
"RRC",8.5,0.842333333333333
"RRC",8.75,0.738
"RRC",9,0.613
"RRC",9.25,0.477333333333333
"RRC",9.5,0.344666666666667
"RRC",9.75,0.240666666666667
"RRC",10,0.156
"RRC",10.25,0.0973333333333333
"RRC",10.5,0.056
"RRC",10.75,0.0323333333333333
"RRC",11,0.016
"RRC",11.25,0.00933333333333333
"RRC",11.5,0.00433333333333333
"RRC",11.75,0.002
"RRC",12,0.000666666666666667
"RRC",12.25,0.000666666666666667
"RRC",12.5,0.000333333333333333
"RRC",12.75,1e-05
"RRC",13,1e-05
"RRC",13.25,1e-05
"RRC",13.5,1e-05
"RRC",13.75,1e-05
"RRC",14,1e-05
"TASM",4,0.977333333333333
"TASM",4.25,0.954666666666667
"TASM",4.5,0.921
"TASM",4.75,0.878666666666667
"TASM",5,0.825333333333333
"TASM",5.25,0.752666666666667
"TASM",5.5,0.662
"TASM",5.75,0.571333333333333
"TASM",6,0.482333333333333
