"Filter","M","PeakMagDev","QAM_label"
"NGF",4,88.8102423906617,"4-QAM"
"Sinc2",4,89.0894558732732,"4-QAM"
"TASM",4,88.9476892689497,"4-QAM"
"NGF",8,88.4601280250455,"8-QAM"
"Sinc2",8,88.7601022173202,"8-QAM"
"TASM",8,88.9256781864468,"8-QAM"
"NGF",16,85.5545988323918,"16-QAM"
"Sinc2",16,85.5865089076715,"16-QAM"
"TASM",16,85.382269228948,"16-QAM"
"NGF",32,85.4735776216598,"32-QAM"
"Sinc2",32,85.6382931726467,"32-QAM"
"TASM",32,85.6520204156482,"32-QAM"
"NGF",64,85.5009042568738,"64-QAM"
"Sinc2",64,85.693276836409,"64-QAM"
"TASM",64,85.2498556606629,"64-QAM"
"NGF",128,85.7685642107714,"128-QAM"
"Sinc2",128,85.7279292557172,"128-QAM"
"TASM",128,85.7424742269988,"128-QAM"
"NGF",256,84.5461573982971,"256-QAM"
"Sinc2",256,85.8449196525367,"256-QAM"
"TASM",256,85.199545388705,"256-QAM"
