"Filter","M","PhaseDev","QAM_label"
"NGF",4,94.7345481142838,"4-QAM"
"Sinc2",4,94.600597951555,"4-QAM"
"TASM",4,94.6276793161185,"4-QAM"
"NGF",8,95.0408795187595,"8-QAM"
"Sinc2",8,95.3537620885336,"8-QAM"
"TASM",8,95.2909828124099,"8-QAM"
"NGF",16,95.113158172252,"16-QAM"
"Sinc2",16,94.7834925053477,"16-QAM"
"TASM",16,95.4881031746179,"16-QAM"
"NGF",32,95.3241333984433,"32-QAM"
"Sinc2",32,95.1058547846003,"32-QAM"
"TASM",32,95.1779038224686,"32-QAM"
"NGF",64,95.074917993469,"64-QAM"
"Sinc2",64,94.9335440195195,"64-QAM"
"TASM",64,95.5029307038727,"64-QAM"
"NGF",128,95.6202644985282,"128-QAM"
"Sinc2",128,95.1788359630478,"128-QAM"
"TASM",128,95.5604264979295,"128-QAM"
"NGF",256,95.2718982434987,"256-QAM"
"Sinc2",256,94.5059813047303,"256-QAM"
"TASM",256,95.4905252818755,"256-QAM"
