"Filter","N","FFT_mults","Filter_mults","RRC_extra","Total","Normalised"
"Unfiltered OFDM",64,3072,0,0,3072,1
"Unfiltered OFDM",128,7168,0,0,7168,1
"Unfiltered OFDM",256,16384,0,0,16384,1
"Unfiltered OFDM",512,36864,0,0,36864,1
"Unfiltered OFDM",1024,81920,0,0,81920,1
"Unfiltered OFDM",2048,180224,0,0,180224,1
"NGF",64,3072,256,0,3328,1.0833
"NGF",128,7168,512,0,7680,1.0714
"NGF",256,16384,1024,0,17408,1.0625
"NGF",512,36864,2048,0,38912,1.0556
"NGF",1024,81920,4096,0,86016,1.05
"NGF",2048,180224,8192,0,188416,1.0455
"Sinc2",64,3072,256,0,3328,1.0833
"Sinc2",128,7168,512,0,7680,1.0714
"Sinc2",256,16384,1024,0,17408,1.0625
"Sinc2",512,36864,2048,0,38912,1.0556
"Sinc2",1024,81920,4096,0,86016,1.05
"Sinc2",2048,180224,8192,0,188416,1.0455
"TASM",64,3072,256,0,3328,1.0833
"TASM",128,7168,512,0,7680,1.0714
"TASM",256,16384,1024,0,17408,1.0625
"TASM",512,36864,2048,0,38912,1.0556
"TASM",1024,81920,4096,0,86016,1.05
"TASM",2048,180224,8192,0,188416,1.0455
"RRC",64,3072,256,129,3457,1.1253
"RRC",128,7168,512,129,7809,1.0894
"RRC",256,16384,1024,129,17537,1.0704
"RRC",512,36864,2048,129,39041,1.0591
"RRC",1024,81920,4096,129,86145,1.0516
"RRC",2048,180224,8192,129,188545,1.0462
